year,area_id,county,county_olelo,species_group,ecosystem_type,exchange_value,exchange_value_formatted
2021,100,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,10288.891299999996,"$10,289"
2021,100,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0
2021,100,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,10288.8913,"$10,289"
2021,100,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,4314.432000000001,"$4,314"
2021,100,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,1188.7872000000004,"$1,189"
2021,100,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,3125.6448,"$3,126"
2021,100,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,1139.71,"$1,140"
2021,100,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,1139.71,"$1,140"
2021,100,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0
2021,100,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,24573.441299999984,"$24,573"
2021,100,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0
2021,100,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,24573.4413,"$24,573"
2021,100,Hawaii,Hawaiʻi,All Species,All Ecosystems,40316.4746,"$40,316"
2021,100,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,37987.9774,"$37,988"
2021,100,Hawaii,Hawaiʻi,All Species,Inshore — Reef,2328.4972,"$2,328"
2021,101,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,21256.284899999988,"$21,256"
2021,101,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0
2021,101,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,21256.2849,"$21,256"
2021,101,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,5643.280000000001,"$5,643"
2021,101,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,2208.1472000000003,"$2,208"
2021,101,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,3435.1328000000003,"$3,435"
2021,101,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,149472.18,"$149,472"
2021,101,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,149472.18,"$149,472"
2021,101,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0
2021,101,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,65367.992099999945,"$65,368"
2021,101,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0
2021,101,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,65367.9921,"$65,368"
2021,101,Hawaii,Hawaiʻi,All Species,All Ecosystems,241739.737,"$241,740"
2021,101,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,90059.4098,"$90,059"
2021,101,Hawaii,Hawaiʻi,All Species,Inshore — Reef,151680.3272,"$151,680"
2021,102,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,6037.430999999997,"$6,037"
2021,102,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0
2021,102,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,6037.431,"$6,037"
2021,102,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,12309.232,"$12,309"
2021,102,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,3577.1072000000004,"$3,577"
2021,102,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,8732.1248,"$8,732"
2021,102,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,2702.128,"$2,702"
2021,102,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,2702.128,"$2,702"
2021,102,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0
2021,102,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,28441.38999999997,"$28,441"
2021,102,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0
2021,102,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,28441.39,"$28,441"
2021,102,Hawaii,Hawaiʻi,All Species,All Ecosystems,49490.181,"$49,490"
2021,102,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,43210.9458,"$43,211"
2021,102,Hawaii,Hawaiʻi,All Species,Inshore — Reef,6279.2352,"$6,279"
2021,103,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,2922.7249999999985,"$2,923"
2021,103,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0
2021,103,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,2922.725,"$2,923"
2021,103,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,1601.6000000000004,"$1,602"
2021,103,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,1601.6,"$1,602"
2021,103,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0
2021,103,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,943.9949999999994,$944
2021,103,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0
2021,103,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,943.995,$944
2021,103,Hawaii,Hawaiʻi,All Species,All Ecosystems,5468.32,"$5,468"
2021,103,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,3866.72,"$3,867"
2021,103,Hawaii,Hawaiʻi,All Species,Inshore — Reef,1601.6,"$1,602"
2021,104,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,123.26600000000002,$123
2021,104,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,123.266,$123
2021,104,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0
2021,104,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,299.4209999999998,$299
2021,104,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0
2021,104,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,299.421,$299
2021,104,Hawaii,Hawaiʻi,All Species,All Ecosystems,422.687,$423
2021,104,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,299.421,$299
2021,104,Hawaii,Hawaiʻi,All Species,Inshore — Reef,123.266,$123
2021,105,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,10445.955999999993,"$10,446"
2021,105,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0
2021,105,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,10445.956,"$10,446"
2021,105,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,1148.5280000000002,"$1,149"
2021,105,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,526.2400000000001,$526
2021,105,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,622.2880000000001,$622
2021,105,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,12822.238000000005,"$12,822"
2021,105,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,12822.238,"$12,822"
2021,105,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0
2021,105,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,23317.963999999985,"$23,318"
2021,105,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0
2021,105,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,23317.964,"$23,318"
2021,105,Hawaii,Hawaiʻi,All Species,All Ecosystems,47734.686,"$47,735"
2021,105,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,34386.208,"$34,386"
2021,105,Hawaii,Hawaiʻi,All Species,Inshore — Reef,13348.478,"$13,348"
2021,106,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,11222.130099999997,"$11,222"
2021,106,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0
2021,106,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,11222.1301,"$11,222"
2021,106,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,1724.08,"$1,724"
2021,106,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,912.9344,$913
2021,106,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,811.1456,$811
2021,106,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,15225.782000000005,"$15,226"
2021,106,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,15225.782,"$15,226"
2021,106,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0
2021,106,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,24945.67299999998,"$24,946"
2021,106,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0
2021,106,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,24945.673,"$24,946"
2021,106,Hawaii,Hawaiʻi,All Species,All Ecosystems,53117.6651,"$53,118"
2021,106,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,36978.9487,"$36,979"
2021,106,Hawaii,Hawaiʻi,All Species,Inshore — Reef,16138.7164,"$16,139"
2021,107,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,2698.290999999999,"$2,698"
2021,107,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0
2021,107,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,2698.291,"$2,698"
2021,107,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,192.464,$192
2021,107,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,102.9664,$103
2021,107,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,89.4976,$89
2021,107,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,1592.7340000000004,"$1,593"
2021,107,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,1592.734,"$1,593"
2021,107,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0
2021,107,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,11280.147999999994,"$11,280"
2021,107,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0
2021,107,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,11280.148,"$11,280"
2021,107,Hawaii,Hawaiʻi,All Species,All Ecosystems,15763.637,"$15,764"
2021,107,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,14067.9366,"$14,068"
2021,107,Hawaii,Hawaiʻi,All Species,Inshore — Reef,1695.7004,"$1,696"
2021,108,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,0.0,$0
2021,108,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,0.0,$0
2021,108,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0
2021,108,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,3546.197299999998,"$3,546"
2021,108,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0
2021,108,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,3546.1973,"$3,546"
2021,108,Hawaii,Hawaiʻi,All Species,All Ecosystems,3546.1973,"$3,546"
2021,108,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,3546.1973,"$3,546"
2021,108,Hawaii,Hawaiʻi,All Species,Inshore — Reef,0.0,$0
2021,120,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,6254.044999999996,"$6,254"
2021,120,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0
2021,120,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,6254.045,"$6,254"
2021,120,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,4329.5199999999995,"$4,330"
2021,120,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,1574.672,"$1,575"
2021,120,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,2754.8479999999995,"$2,755"
2021,120,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,0.0,$0
2021,120,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,0.0,$0
