year,island,island_olelo,county,county_olelo,species_group,ecosystem_type,exchange_value,exchange_value_formatted,area_id
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,10288.891299999996,"$10,289",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,10288.8913,"$10,289",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,4314.432000000001,"$4,314",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,1188.7872000000004,"$1,189",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,3125.6448,"$3,126",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,1139.71,"$1,140",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,1139.71,"$1,140",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,24573.441299999984,"$24,573",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,24573.4413,"$24,573",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,40316.4746,"$40,316",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,37987.9774,"$37,988",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,2328.4972,"$2,328",100
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,21256.284899999988,"$21,256",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,21256.2849,"$21,256",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,5643.280000000001,"$5,643",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,2208.1472000000003,"$2,208",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,3435.1328000000003,"$3,435",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,149472.18,"$149,472",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,149472.18,"$149,472",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,65367.992099999945,"$65,368",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,65367.9921,"$65,368",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,241739.737,"$241,740",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,90059.4098,"$90,059",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,151680.3272,"$151,680",101
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,6037.430999999997,"$6,037",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,6037.431,"$6,037",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,12309.232,"$12,309",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,3577.1072000000004,"$3,577",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,8732.1248,"$8,732",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,2702.128,"$2,702",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,2702.128,"$2,702",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,28441.38999999997,"$28,441",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,28441.39,"$28,441",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,49490.181,"$49,490",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,43210.9458,"$43,211",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,6279.2352,"$6,279",102
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,2922.7249999999985,"$2,923",103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,2922.725,"$2,923",103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,1601.6000000000004,"$1,602",103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,1601.6,"$1,602",103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,943.9949999999994,$944,103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,943.995,$944,103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,5468.32,"$5,468",103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,3866.72,"$3,867",103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,1601.6,"$1,602",103
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,All Ecosystems,123.26600000000002,$123,104
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Inshore — Reef,123.266,$123,104
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Reef-Associated,Coastal — Open Ocean,0.0,$0,104
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,All Ecosystems,299.4209999999998,$299,104
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Inshore — Reef,0.0,$0,104
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Pelagics,Coastal — Open Ocean,299.421,$299,104
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,All Ecosystems,422.687,$423,104
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Coastal — Open Ocean,299.421,$299,104
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,All Species,Inshore — Reef,123.266,$123,104
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,All Ecosystems,10445.955999999993,"$10,446",105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Inshore — Reef,0.0,$0,105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Deep 7 Bottomfish,Coastal — Open Ocean,10445.956,"$10,446",105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,All Ecosystems,1148.5280000000002,"$1,149",105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Inshore — Reef,526.2400000000001,$526,105
2021,Hawaii,Hawaiʻi,Hawaii,Hawaiʻi,Shallow Bottomfish,Coastal — Open Ocean,622.2880000000001,$622,105
